Odorscenes, dPsiBar
1,0.007653209777006025
2,0.011283969683102286
3,0.012466935920840931
4,0.02587567591461273
5,0.0077990504319853755
7,0.016503171265263857
10,0.021651706949889344
15,0.03024172807187122
20,0.025889032520708184
25,0.030439597476326345
30,0.03380586340353567
35,0.039602114730149185
40,0.041240750592903275
45,0.03540185403928814
50,0.0327785538055571
60,0.04275777957353339
70,0.04125483498326403
80,0.0445764579802668
90,0.054006971152760916
100,0.04882294366930886
120,0.09498914472619194
140,0.07370893624109937
160,0.02885747743111848
200,0.01952332063813598
250,0.05259420524879713
300,0.031691321939809676
350,0.027443910098356887
400,0.01663742155720614
